frame_id,season,weather,lighting,human_detected,human_distance,thermal_confirmed,radar_activity,motion_ratio,point_count,moving_points,max_velocity,mean_velocity
013342,Summer,Indoor,Day,True,1.485,True,True,0.9375,32,30,0.8209887146949768,0.47463410533964634
013352,Summer,Indoor,Day,True,0.675,True,True,0.8888888888888888,18,16,0.8209887146949768,0.5815336778759956
013362,Summer,Indoor,Day,False,,False,True,0.8461538461538461,26,22,0.8209887146949768,0.473647341132164
013372,Summer,Indoor,Day,False,,False,True,0.8888888888888888,9,8,0.2052471786737442,0.18244193659888375
013382,Summer,Indoor,Day,True,0.305,True,True,0.23529411764705882,17,4,0.6157415509223938,0.10866027281564825
013392,Summer,Indoor,Day,True,0.39,True,True,0.2727272727272727,11,3,1.0262359380722044,0.2239060185172341
013402,Summer,Indoor,Day,True,1.69,True,True,0.8666666666666667,30,26,0.8209887146949768,0.348920206228892
013412,Summer,Indoor,Day,True,1.48,True,True,0.875,8,7,0.4104943573474884,0.35918256267905235
013422,Summer,Indoor,Day,True,0.385,True,True,0.9333333333333333,15,14,0.6157415509223938,0.42417750755945843
013432,Summer,Indoor,Day,False,,False,True,0.88,25,22,1.0262359380722044,0.5993217766284943
013442,Summer,Indoor,Day,True,1.895,True,True,0.9411764705882353,17,16,1.0262359380722044,0.5915948126245948
013452,Summer,Indoor,Day,True,0.945,True,True,0.8947368421052632,19,17,1.0262359380722044,0.5185191992082094
013462,Summer,Indoor,Day,True,0.325,True,True,0.9047619047619048,21,19,0.6157415509223938,0.4789100927965982
013472,Summer,Indoor,Day,True,0.435,True,True,0.2857142857142857,14,4,0.8209887146949768,0.17592615527766092
013482,Summer,Indoor,Day,True,1.595,True,True,0.08333333333333333,12,1,0.6157415509223938,0.051311795910199486
013492,Summer,Indoor,Day,True,2.67,True,True,0.95,20,19,0.8209887146949768,0.287346051633358
013502,Summer,Indoor,Day,True,2.31,True,True,0.8461538461538461,13,11,0.8209887146949768,0.31576489026729876
013512,Summer,Indoor,Day,True,1.06,True,True,0.8571428571428571,14,12,0.4104943573474884,0.1905866659113339
013522,Summer,Indoor,Day,True,0.23,True,True,0.9047619047619048,21,19,1.0262359380722044,0.28343658220200313
013532,Summer,Indoor,Day,True,1.38,True,True,0.9444444444444444,18,17,0.8209887146949768,0.28506552593575585
013542,Summer,Indoor,Day,True,1.51,True,True,0.9230769230769231,13,12,0.4104943573474884,0.3315531347806637
013552,Summer,Indoor,Day,True,0.79,True,True,0.9090909090909091,11,10,0.6157415509223938,0.33585902371189813
013562,Summer,Indoor,Day,True,1.2,True,True,0.9166666666666666,24,22,1.0262359380722044,0.5131179553767046
013572,Summer,Indoor,Day,True,2.75,True,True,0.875,16,14,1.0262359380722044,0.5516018029302359
013582,Summer,Indoor,Day,True,3.56,True,True,0.9,20,18,1.0262359380722044,0.6670533485710621
013592,Summer,Indoor,Day,True,4.71,True,True,0.8333333333333334,24,20,1.0262359380722044,0.5644297463198503
013602,Summer,Indoor,Day,True,5.83,True,True,0.8947368421052632,19,17,1.0262359380722044,0.604939059207314
013722,Summer,Indoor,Day,True,1.175,True,True,0.8571428571428571,21,18,1.0262359380722044,0.5277784729287738
013732,Summer,Indoor,Day,True,1.175,True,False,0.0,9,0,0.0,0.0
013742,Summer,Indoor,Day,True,1.335,True,False,0.0,10,0,0.0,0.0
013752,Summer,Indoor,Day,True,1.495,True,True,0.09090909090909091,11,1,0.6157415509223938,0.055976504629308525
013762,Summer,Indoor,Day,True,1.645,True,True,0.45,20,9,0.8209887146949768,0.29760841429233553
013772,Summer,Indoor,Day,True,2.835,True,True,0.8235294117647058,17,14,1.0262359380722044,0.3018340906676124
013782,Summer,Indoor,Day,True,3.745,True,True,0.8823529411764706,17,15,1.0262359380722044,0.37427426962291493
013792,Summer,Indoor,Day,False,,False,True,0.9375,16,15,1.0262359380722044,0.5002900008112192
013802,Summer,Indoor,Day,False,,False,True,0.9166666666666666,12,11,0.6157415509223938,0.3933904307583968
013812,Summer,Indoor,Day,True,3.745,True,True,0.8636363636363636,22,19,0.8209887146949768,0.5131179534576156
013822,Summer,Indoor,Day,True,1.235,True,True,0.9333333333333333,30,28,1.0262359380722044,0.6978404194116592
013832,Summer,Indoor,Day,True,0.075,True,True,0.8421052631578947,19,16,0.8209887146949768,0.4104943628373899
013842,Summer,Indoor,Day,True,0.425,True,False,0.0,15,0,0.0,0.0
013852,Summer,Indoor,Day,True,0.775,True,True,0.4375,16,7,1.0262359380722044,0.2822148771956563
013862,Summer,Indoor,Day,True,1.855,True,True,0.2857142857142857,21,6,1.0262359380722044,0.16615248223145804
013872,Summer,Indoor,Day,True,1.785,True,True,0.45,20,9,1.0262359380722044,0.3797072887420654
013882,Summer,Indoor,Day,True,0.355,True,True,0.7777777777777778,18,14,0.8209887146949768,0.21664979971117443
